,ts,ne,mf,score,mae,time
2293,0.4,4,log2,0.2655114196354088,0.04004736240320478,0.5411483999341726
2294,0.4,4,,0.2460284457428773,0.04110582890356587,1.6965946999844164
2295,0.4,5,sqrt,0.2909410566205969,0.03879069186618583,0.9670909999404103
2296,0.4,5,log2,0.30226868292801135,0.03879395739783485,0.9618675999809057
2297,0.4,5,,0.27195283403385273,0.03949373730449529,3.4135521000716835
2298,0.4,6,sqrt,0.3139906580560138,0.03771934421614004,2.2273991000838578
2299,0.4,6,log2,0.30377257772099353,0.03797594986498867,2.162779500009492
2300,0.4,6,,0.287021902844408,0.03879789504624215,6.4143848000094295
2301,0.4,7,sqrt,0.31158427589968385,0.03747557625644562,4.540316900005564
2302,0.4,7,log2,0.312223052321112,0.03739243967577254,4.342080899979919
2303,0.4,7,,0.2983455155985252,0.038179226327258974,12.780137300025672
2304,0.1,0,sqrt,-0.4129519467969067,0.05140640090579778,0.142638600198552
2305,0.1,0,log2,-0.49266568568790303,0.0523554552055201,0.1096896999515593
2306,0.1,0,,-0.46047842403081307,0.052435336155889495,0.38073060009628534
2307,0.1,1,sqrt,-0.014253759144610578,0.046239092537097834,0.16713620000518858
2308,0.1,1,log2,-0.1433211697377803,0.04894270520048127,0.1575511998962611
2309,0.1,1,,-0.09873691725211309,0.047921581897999506,0.42152080009691417
2310,0.1,2,sqrt,0.16060749013557651,0.043359799579328485,0.2229630001820624
2311,0.1,2,log2,0.16728046419382792,0.0431481151161097,0.2047566999681294
2312,0.1,2,,0.12631693442664915,0.043195017167004024,0.63180229999125
2313,0.1,3,sqrt,0.21706192478395203,0.04095171681854399,0.4124714999925345
2314,0.1,3,log2,0.2369765329847463,0.04012864580561007,0.38177799992263317
2315,0.1,3,,0.24419344217999595,0.0408870642686028,1.176551700104028
2316,0.1,4,sqrt,0.3332448354184583,0.037673497918944976,0.7343343999236822
2317,0.1,4,log2,0.3183129223532972,0.037561086980402614,0.8505221998784691
2318,0.1,4,,0.2899748762933825,0.038466339028791874,2.3349409999791533
2319,0.1,5,sqrt,0.34362284771950813,0.03652166234192313,1.451532500097528
2320,0.1,5,log2,0.3499898463620844,0.03614259302094467,1.5260791000910103
2321,0.1,5,,0.3124326588277807,0.03739158098469731,4.745287099853158
2322,0.1,6,sqrt,0.3458440044433392,0.03564611027377131,2.819191699847579
2323,0.1,6,log2,0.3549587032263789,0.03540774556375005,3.036939899902791
2324,0.1,6,,0.333814898414011,0.036228615987621025,9.989557900000364
2325,0.1,7,sqrt,0.3511143595069157,0.035286471094695245,5.64472039998509
2326,0.1,7,log2,0.3528724608503183,0.03530975509945934,5.569535700138658
2327,0.1,7,,0.3277053728700374,0.03608717788390413,19.49692609999329
2328,0.2,0,sqrt,-0.45546838249230115,0.054864771505713464,0.12443620013073087
2329,0.2,0,log2,-0.40631217116017804,0.0528936314670985,0.09262849995866418
2330,0.2,0,,-0.3068257680302551,0.051249878567711606,0.29520419985055923
2331,0.2,1,sqrt,-0.008592489860530295,0.04676794128166006,0.13457969995215535
2332,0.2,1,log2,-0.02168630696227547,0.04692649956429592,0.11426289984956384
2333,0.2,1,,-0.04682389518754371,0.04783917810337534,0.44565670005977154
2334,0.2,2,sqrt,0.18016872589874744,0.043477313363881366,0.19678590004332364
2335,0.2,2,log2,0.19353622573323426,0.04287515381806793,0.16008340008556843
2336,0.2,2,,0.19259502607688683,0.043090785705920794,0.5020745999645442
2337,0.2,3,sqrt,0.29819199140739105,0.03981338111138913,0.3278131999541074
2338,0.2,3,log2,0.2779313275115457,0.04000358264872198,0.38821480004116893
2339,0.2,3,,0.28025940431691365,0.04048494901990475,1.2811416999902576
2340,0.2,4,sqrt,0.32529838280541634,0.038556976266508156,0.6770045999437571
2341,0.2,4,log2,0.31909771797407915,0.03833566807504738,0.6218594999518245
2342,0.2,4,,0.2996313198234122,0.03881150798761463,2.3568668998777866
2343,0.2,5,sqrt,0.3559861004322079,0.036910026046404185,1.4024284998886287
2344,0.2,5,log2,0.35252564681545817,0.036724671919214705,1.2766566001810133
2345,0.2,5,,0.346675320023208,0.037277858517215955,4.505481400061399
2346,0.2,6,sqrt,0.3719142494116717,0.035941812987072976,2.54101760010235
2347,0.2,6,log2,0.37952579339265624,0.03572293713492511,2.6094077001325786
2348,0.2,6,,0.35713783929705545,0.03631365812241219,8.754762999946252
2349,0.2,7,sqrt,0.38718200303953865,0.03510870795833329,5.176997700007632
2350,0.2,7,log2,0.38611418949511267,0.03523888950311524,5.251370599959046
2351,0.2,7,,0.36856860407906844,0.03601528372236536,17.397064300021157
2352,0.3,0,sqrt,-0.36452509369192043,0.053816574459039326,0.12708709994331002
2353,0.3,0,log2,-0.4313591136728774,0.054791243275507356,0.09520889981649816
2354,0.3,0,,-0.41270428838422357,0.054404450802606225,0.2661573998630047
2355,0.3,1,sqrt,-0.0007696548567459605,0.047813833648837324,0.12377410009503365
2356,0.3,1,log2,0.015131886773811165,0.04721392272591014,0.12729400000534952
2357,0.3,1,,-0.07527963814876215,0.04946542935780025,0.40323859988711774
2358,0.3,2,sqrt,0.16406328705625317,0.04434287533128237,0.1674218000844121
2359,0.3,2,log2,0.14528183309794807,0.04472040318753673,0.3059183000586927
2360,0.3,2,,0.13436389154300787,0.04462539691644703,0.5448176001664251
2361,0.3,3,sqrt,0.2596608458588078,0.04195563337549547,0.3017390000168234
2362,0.3,3,log2,0.2692532160670834,0.04126431085639056,0.28909129998646677
2363,0.3,3,,0.221305961721738,0.0420930556678809,0.9059288999997079
2364,0.3,4,sqrt,0.2988891010239868,0.03984511337228967,0.5734081000555307
2365,0.3,4,log2,0.2965824631188754,0.03955312295753071,0.63995649991557
2366,0.3,4,,0.28472813452089896,0.04027840706372211,2.145110100042075
2367,0.3,5,sqrt,0.323294396704622,0.038180794816434833,1.1143674000632018
2368,0.3,5,log2,0.32182084261311084,0.03830651038540602,1.169183500111103
2369,0.3,5,,0.30691609878418735,0.03878552328021123,3.6768763000145555
2370,0.3,6,sqrt,0.3375060112365442,0.03720509927837233,2.1644206000491977
2371,0.3,6,log2,0.3346257673538523,0.0373701144433409,2.409270300064236
2372,0.3,6,,0.3120041579362328,0.038334638006376244,7.337320700054988
2373,0.3,7,sqrt,0.341643163992121,0.03677100206014081,4.789603400044143
2374,0.3,7,log2,0.34477787364458434,0.0367743289902047,4.5715256000403315
2375,0.3,7,,0.3133329939561158,0.037866462352459,14.775530300103128
2376,0.4,0,sqrt,-0.41852285819315305,0.05571954001681555,0.10267849988304079
2377,0.4,0,log2,-0.4147527235543933,0.05460302943661223,0.08014389988966286
2378,0.4,0,,-0.46560149080851954,0.0554166736365426,0.22853820002637804
