,model,mse,rmse,mae,r2,mape,time
159,Random Forest,13138559.668022031,3624.7151154293533,1817.9288631536456,0.9061173284285143,7230220705168857.0,19.755165999988094
160,XGBoost,14564785.308075259,3816.3837998916274,2082.341295386414,0.8959261144191246,7.514929385138641e+17,0.5339670999674127
161,LGBM,11611313.307974838,3407.5377192299484,1734.447505952028,0.9170303944001242,1.2994767422227589e+17,0.3083907999098301
162,Ada Boost,14629124.0373807,3824.8037907036096,2315.786461067871,0.8954663766742476,5.77378204730087e+17,0.8938944999827072
163,Bagging,13440678.43710886,3666.1530842436,1859.02935734375,0.9039585136200088,7897317150573049.0,1.846466299961321
164,Boosting,11071706.975399576,3327.4174633489524,1701.0353440417875,0.9208861963585655,2.063088345340479e+17,5.05188799998723
165,Random Forest,12968025.773887673,3601.1145182967557,1789.1550913489575,0.9073358925618257,6524463167404125.0,13.520763600012287
166,XGBoost,13643449.060614735,3693.7039757694083,1986.3004929938695,0.9025095992540543,4.7782587978376806e+17,0.49075190001167357
167,LGBM,12272510.011326527,3503.2142399982517,1754.6370330512266,0.9123057583278765,1.2138771979142187e+17,0.2371025999309495
168,Ada Boost,15623699.743579563,3952.6826009154292,2454.2339351081964,0.886223100467546,7.429622403119688e+17,1.7992182000307366
169,Bagging,13995082.616689136,3741.0002160771305,1931.5075086904758,0.8980832238867249,5592569615161573.0,1.8773491000756621
170,Boosting,11269663.986966984,3357.032020545378,1706.5063608001967,0.9179306151389284,2.5236495211508474e+17,5.579784799949266
171,Random Forest,12737978.723443832,3569.0305018931726,1796.6386656696427,0.9072378662384767,8886915145568346.0,15.374497900018468
172,XGBoost,13472060.680759003,3670.430585198282,2090.5951039160705,0.9018920409552971,8.270716328337361e+17,0.6472361000487581
173,LGBM,12759165.711458674,3571.997440012895,1792.552768535935,0.9070835756513351,1.582388315825089e+17,0.4429829999571666
174,Ada Boost,14868288.69738849,3855.9419987064757,2506.725929509199,0.8957204757015096,8.988250102282135e+17,2.007150399964303
175,Bagging,11585320.404137325,3403.7215520863815,1725.8259730482455,0.9187457463883364,8982907470435114.0,1.774519200087525
176,Boosting,10009395.085413702,3163.7628048596976,1610.7413811675312,0.9297985814463019,2.0620598370678864e+17,5.662161399959587
177,Random Forest,11316511.59625229,3364.0023181104216,1715.2196859364033,0.9206310510917902,6797735183681819.0,15.269669600063935
178,XGBoost,14006986.386286017,3742.5908654682007,2200.660892820879,0.9017612647329152,1.1547183834677834e+18,0.505587299936451
179,LGBM,10677399.426265618,3267.629022129902,1666.3172518049373,0.9251134978895372,1.2795763947594454e+17,0.2333997000241652
