,model,mse,rmse,mae,r2,mape,time,i,train,test
1146,RF,0.009542294535025982,0.09768466888425216,0.06171245591346652,-0.3205356407156992,0.1988459829610761,2.648171699955128,5,5987,6981
1147,LinearReg,0.006921456757102602,0.08319529287827888,0.04418875146934439,0.04215591963997112,0.1567116820508232,0.012762199970893562,5,5987,6981
1148,BayesRidge,0.006904643049238021,0.08309418180136333,0.04394112522224838,0.044482729025938306,0.1566024126322582,0.00647020002361387,5,5987,6981
1149,RidgeReg,0.006918605701058747,0.08317815639372363,0.044150911778899446,0.042550470563312404,0.15678601001182188,0.0033949000062420964,5,5987,6981
1150,PLS,0.007073467742395698,0.08410391038706641,0.04691196928170879,0.021119477815311427,0.16138939471745556,0.005361800082027912,5,5987,6981
1151,XGBoost,0.009367650762331344,0.09678662491445471,0.056254806727746624,-0.2963671008088882,0.18848962503444602,0.18123650003690273,5,5987,6981
1152,AdaBoost,0.011751653576408977,0.1084050440542735,0.08197440971113396,-0.6502503957207906,0.704193670904295,0.3994866000721231,6,6982,7976
1153,Boosting,0.007120052496830275,0.08438040351189531,0.04673050121623712,0.00015181914191164658,0.6805967093949183,1.102279799990356,6,6982,7976
1154,DecisionTree,0.006603416812043353,0.08126141034982935,0.041125906263887915,0.07270145972820496,0.6944831504162645,0.00725100003182888,6,6982,7976
1155,LassoReg,0.007121148623925022,0.08438689841394233,0.034078073078979046,-2.106785202071748e-06,0.698996486258324,0.002201499999500811,6,6982,7976
1156,PCR,0.006891880275259122,0.08301734924254763,0.041252032328376764,0.03219337793123633,0.7068627741650693,0.008366400026716292,6,6982,7976
1157,Bagging,0.008446442384307019,0.09190452863872932,0.0592441766255573,-0.18610923956412773,0.6227333337832506,0.31897989998105913,6,6982,7976
1158,RF,0.007683029183468172,0.08765289033151258,0.05549983981641726,-0.07890535301391233,0.6221820438660942,3.2785519000608474,6,6982,7976
1159,LinearReg,0.00663760469877325,0.08147149623502228,0.04203385527587044,0.06790055462680467,0.6832838830576119,0.008530499995686114,6,6982,7976
1160,BayesRidge,0.00662943229426919,0.0814213257953295,0.041962749912795985,0.06904818152706405,0.6829227446046398,0.00368899991735816,6,6982,7976
1161,RidgeReg,0.006634666485326026,0.08145346208311852,0.042027199820256454,0.06831315936131865,0.682983383135008,0.001950099947862327,6,6982,7976
1162,PLS,0.006874256754155148,0.08291113769666382,0.04293408733320447,0.034668197537407464,0.6827485120569047,0.004951299983076751,6,6982,7976
1163,XGBoost,0.007369040874532994,0.08584311780529057,0.04774290954033908,-0.034812891667692636,0.6978626934169004,0.1784639999968931,6,6982,7976
1164,AdaBoost,0.010258781511231661,0.10128564316442712,0.06490897368430376,0.0009849124475085347,4.559713034797759,0.25550970004405826,7,7977,8971
1165,Boosting,0.008990688792060691,0.09481924273089662,0.049879403923873925,0.12447362867372691,4.242829145432908,1.3018894999986514,7,7977,8971
1166,DecisionTree,0.009240132111386657,0.09612560590907428,0.05372047228106766,0.10018247487315302,4.277300111659863,0.008987099980004132,7,7977,8971
1167,LassoReg,0.010269396959371362,0.10133803313352475,0.04911457533511553,-4.883535588140475e-05,4.170058040417994,0.0021240999922156334,7,7977,8971
1168,PCR,0.010053970987186016,0.10026949180676052,0.05468554654612402,0.020929659626997554,4.312998658094593,0.009368000086396933,7,7977,8971
1169,Bagging,0.009968549667055557,0.09984262450003784,0.059072577963266815,0.029248112214719568,4.186543873913817,0.36117940000258386,7,7977,8971
1170,RF,0.009858954030902508,0.09929226571542472,0.06141436226859018,0.039920694911498744,4.478291346408308,3.618508300045505,7,7977,8971
1171,LinearReg,0.009362743212817222,0.09676126917737914,0.05508515158180867,0.08824242720799347,4.213853159289572,0.009610899956896901,7,7977,8971
1172,BayesRidge,0.009361659453722039,0.09675566884540687,0.05502554984974622,0.08834796524739652,4.21274915196844,0.004685999942012131,7,7977,8971
1173,RidgeReg,0.009361504986773286,0.09675487061007981,0.05507138211813023,0.08836300746387848,4.212904891594147,0.0018517000135034323,7,7977,8971
1174,PLS,0.00967137048995242,0.09834312629743076,0.05620057200260511,0.05818785338255972,4.186462237788946,0.006363899912685156,7,7977,8971
1175,XGBoost,0.010266018810823497,0.10132136403949316,0.06156260524894379,0.0002801336706659274,4.365007106539127,0.18599460006225854,7,7977,8971
1176,AdaBoost,0.006280447958825825,0.0792492773394548,0.04506783210099379,0.005124827103598406,0.1051701062294513,0.23251170001458377,8,8972,9966
1177,Boosting,0.007857332479020816,0.08864159564798467,0.057961241691544346,-0.2446667912573235,0.12959871280755914,1.4620155000593513,8,8972,9966
