,model,mape,mae,time
231,AdaBoost,0.9126321400177824,0.046756930949613855,1.2614709000336006
234,LassoReg,0.9138444887835098,0.03949313714899457,0.010084300069138408
232,Boosting,0.9146587670160078,0.04092400296162891,6.598433200037107
111,Boosting,0.9172789005626624,0.04106384325726869,3.934612000011839
238,LinearReg,0.9218676075892505,0.04577480542048909,0.026688999962061644
240,RidgeReg,0.9221439563293056,0.045764415139335664,0.008448700071312487
239,BayesRidge,0.922746279356367,0.04572711016774725,0.016072799917310476
241,PLS,0.9247943433556187,0.045779656713674455,0.025124100036919117
112,DecisionTree,0.9374929514292101,0.04176404220536736,0.026683799922466278
113,LassoReg,0.9375605813391867,0.040302312482620575,0.00943650002591312
120,PLS,0.9403718603204425,0.04545842340763161,0.020290200016461313
235,PCR,0.9427202689261148,0.04510156480047782,0.05438270000740886
118,BayesRidge,0.9428209750430024,0.04548584722593903,0.014984100009314716
119,RidgeReg,0.9432331547838706,0.04552290238569745,0.010813100030645728
117,LinearReg,0.9433800391812361,0.04553088094740705,0.022833799943327904
114,PCR,0.9528805710194846,0.045016292998850474,0.04273999994620681
122,Boosting,1.0237797119798664,0.04076291141395228,4.760097899939865
123,DecisionTree,1.0296536111901202,0.040859494703113806,0.02591019996907562
124,LassoReg,1.0306737692260157,0.039457806396809646,0.009353699977509677
131,PLS,1.031780983167888,0.04559922582930084,0.018864799989387393
128,LinearReg,1.033205335750481,0.04559952909911789,0.029056500061415136
130,RidgeReg,1.0333373663283563,0.045592142277255575,0.005095500033348799
129,BayesRidge,1.0334541807646127,0.04556008140293028,0.014964599977247417
125,PCR,1.0460510190608723,0.04475173078122391,0.049785299925133586
243,Boosting,1.0634398171871977,0.04133505950355306,4.269076699973084
244,DecisionTree,1.0709167981714707,0.03959562696361733,0.020740499952808022
245,LassoReg,1.0730146816766992,0.039942476672587296,0.00705400004517287
252,PLS,1.0751572538649912,0.046700505456193524,0.022427800111472607
249,LinearReg,1.0801095932840514,0.046864159117192286,0.019831700017675757
250,BayesRidge,1.080153708900215,0.046817363834795477,0.013357399962842464
251,RidgeReg,1.0802030867708485,0.046854415039730396,0.005267000058665872
246,PCR,1.087671926800589,0.045346848487523905,0.03497359994798899
159,Bagging,6596424803.322611,0.04199354902447975,2.088781200000085
27,Bagging,29462267479.170204,0.04178474265308957,1.6901989999460056
269,Bagging,60526524808.08472,0.04184701385285467,2.3319337000139058
313,Bagging,82854178865.70137,0.041623790341359955,2.661936099990271
314,RF,88978416289.56711,0.03792436424992071,20.867465800023638
270,RF,94271250841.56427,0.03804048660092094,19.396395499934442
160,RF,107427810019.99214,0.0380808372981748,17.958214099984616
61,RF,133267387395.03917,0.03782627612909185,23.117419100017287
203,Bagging,136371613981.798,0.04232030147581844,2.0063542999560013
28,RF,141150471210.351,0.03771610505206614,14.901661999989301
204,RF,147306856569.7773,0.0381322109443418,18.64099740004167
38,Bagging,156371522541.31107,0.04111625656521344,1.5986526000779122
39,RF,156434685351.23816,0.036835648489145736,14.682425200007856
60,Bagging,159493816637.9972,0.04199422067638293,1.6317115999991074
154,AdaBoost,270216917278.14542,0.04673619401970448,0.6759596000192687
155,Boosting,301857618356.1593,0.040079321262726765,4.018845300073735
309,Boosting,333556481360.259,0.040785314811943564,4.8152888000477105
199,Boosting,342192223164.0882,0.04036716381931782,3.9575250999769196
23,Boosting,343277014199.37634,0.03998418310300326,3.2701872000470757
198,AdaBoost,348266389863.9098,0.045282483541182694,0.8909091000678018
264,AdaBoost,350654506444.7472,0.04626215615602339,0.8564924000529572
33,AdaBoost,354611517958.592,0.04509483591051087,1.0151001999620348
22,AdaBoost,357304008264.88104,0.04606818371168446,0.57536939997226
308,AdaBoost,372430313430.8375,0.04431057852603475,1.523998099961318
265,Boosting,373467000876.48285,0.040110786128593305,4.445498999906704
56,Boosting,373657543016.8619,0.040375742381766305,3.7085146999452263
34,Boosting,376174223800.30286,0.0394289508898143,3.299233900033869
55,AdaBoost,389129593150.8571,0.04523531747739687,1.2526759000029415
24,DecisionTree,395268494176.2579,0.040427051571585236,0.027965600020252168
310,DecisionTree,395490034042.0053,0.040343279889684,0.03659889998380095
200,DecisionTree,396544548750.2193,0.040106416764013775,0.02648210001643747
25,LassoReg,396606922520.5877,0.03967507031667192,0.006862099980935454
157,LassoReg,396665080752.4199,0.039342416689370614,0.007159400032833219
36,LassoReg,396739497861.234,0.03742304726986816,0.007986900047399104
58,LassoReg,396746488717.43317,0.03984196017756543,0.006457899929955602
311,LassoReg,396961429962.25385,0.03962255726595652,0.015898799989372492
267,LassoReg,396963852663.366,0.039096441913047446,0.007343999925069511
201,LassoReg,397007264881.68207,0.03889252618214909,0.007645599893294275
156,DecisionTree,397008986543.17413,0.03979600479771601,0.026266400003805757
35,DecisionTree,397210729512.3614,0.038822977771590175,0.019894600030966103
318,PLS,397469540841.0208,0.045435766175444814,0.02008620009291917
266,DecisionTree,397963966596.034,0.04028136861214579,0.027315399958752096
57,DecisionTree,398031149816.33624,0.040785986514173596,0.020659799920395017
164,PLS,398330595898.6431,0.04499871459076079,0.021364300046116114
65,PLS,399237623959.65314,0.04529994209643618,0.034850799944251776
